comment,clean_text,mudah digunakan (P1),memenuhi kebutuhan (P3),label_umux,actual_umux_dimension,predicted_umux_label,predicted_umux_dimension,is_prediction_correct,suggested_label,suggested_dimension,audit_reason,audit_note,word_count,matched_general_praise,matched_usefulness,matched_ease,matched_negative_usability,sentiment_category,vader_compound,umux_lite_score_1_7,rating,user,date,likes,label UMUX,label,vader_neg,vader_neu,vader_pos,umux_score_category,is_umux_relevant,review_text_lower,audit_text,has_general_praise,has_usefulness_keyword,has_ease_keyword,has_negative_usability_pattern,is_suggestion_different
mantap,mantap,0,1,1,Usefulness,0,Tidak relevan dengan UMUX-Lite,False,0,Tidak relevan dengan UMUX-Lite,label_1_general_praise_only,"Label aktual Usefulness, tetapi komentar tampak hanya pujian umum. Cek apakah lebih tepat menjadi tidak relevan UMUX-Lite.",1,mantap,,,,positive,0.5859,5.76,5.0,Apolos Manurung,2026-04-02 08:48:27,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0.0,0.208,0.792,high,False,mantap,mantap mantap,True,False,False,False,True
memuaskan,muas,0,1,1,Usefulness,1,Usefulness,True,0,Tidak relevan dengan UMUX-Lite,too_short_no_clear_keyword,Komentar sangat pendek dan tidak mengandung keyword UMUX-Lite yang jelas.,1,,,,,positive,0.4939,5.48,5.0,Rumino Mino,2026-04-02 08:35:18,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0.0,0.238,0.762,high,True,memuaskan,memuaskan muas,False,False,False,False,True
"mantap, bismillah semoga bermanfaat",mantap bismillah moga manfaat,0,0,0,Tidak relevan dengan UMUX-Lite,0,Tidak relevan dengan UMUX-Lite,True,1,Usefulness,label_0_contains_usefulness_keyword,"Label aktual tidak relevan, tetapi komentar mengandung indikasi usefulness atau manfaat aplikasi.",4,mantap,"bermanfaat, manfaat",,,positive,0.8316,6.49,5.0,zidan ramadhan,2026-04-02 08:30:06,0.0,Tidak relevan dengan pertanyaan manapun,0,0.0,0.476,0.524,high,False,"mantap, bismillah semoga bermanfaat","mantap, bismillah semoga bermanfaat mantap bismillah moga manfaat",True,True,False,False,True
sangat berguna,sangat guna,0,0,0,Tidak relevan dengan UMUX-Lite,1,Usefulness,False,1,Usefulness,label_0_contains_usefulness_keyword,"Label aktual tidak relevan, tetapi komentar mengandung indikasi usefulness atau manfaat aplikasi.",2,,"berguna, guna",,,positive,0.5859,5.76,5.0,Imam Syaifullah,2026-04-02 08:29:48,0.0,Tidak relevan dengan pertanyaan manapun,0,0.0,0.0,1.0,high,True,sangat berguna,sangat berguna sangat guna,False,True,False,False,True
mantap,mantap,0,1,1,Usefulness,0,Tidak relevan dengan UMUX-Lite,False,0,Tidak relevan dengan UMUX-Lite,label_1_general_praise_only,"Label aktual Usefulness, tetapi komentar tampak hanya pujian umum. Cek apakah lebih tepat menjadi tidak relevan UMUX-Lite.",1,mantap,,,,positive,0.4588,5.38,5.0,Nofri Nofriadi,2026-04-02 08:17:50,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0.0,0.4,0.6,high,False,mantap,mantap mantap,True,False,False,False,True
mantap,mantap,0,1,1,Usefulness,0,Tidak relevan dengan UMUX-Lite,False,0,Tidak relevan dengan UMUX-Lite,label_1_general_praise_only,"Label aktual Usefulness, tetapi komentar tampak hanya pujian umum. Cek apakah lebih tepat menjadi tidak relevan UMUX-Lite.",1,mantap,,,,positive,0.7964,6.39,5.0,Emil Fauzi,2026-04-02 08:08:05,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0.0,0.123,0.877,high,False,mantap,mantap mantap,True,False,False,False,True
mantap,mantap,0,1,1,Usefulness,0,Tidak relevan dengan UMUX-Lite,False,0,Tidak relevan dengan UMUX-Lite,label_1_general_praise_only,"Label aktual Usefulness, tetapi komentar tampak hanya pujian umum. Cek apakah lebih tepat menjadi tidak relevan UMUX-Lite.",1,mantap,,,,positive,0.5267,5.58,5.0,muhammad rizki,2026-04-02 07:29:06,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0.0,0.227,0.773,high,False,mantap,mantap mantap,True,False,False,False,True
bagus sekali,bagus sekali,0,1,1,Usefulness,0,Tidak relevan dengan UMUX-Lite,False,0,Tidak relevan dengan UMUX-Lite,label_1_general_praise_only,"Label aktual Usefulness, tetapi komentar tampak hanya pujian umum. Cek apakah lebih tepat menjadi tidak relevan UMUX-Lite.",2,bagus,,,,positive,0.4215,5.26,5.0,arnoldus henrikus tethool,2026-04-02 07:24:08,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0.0,0.0,1.0,high,False,bagus sekali,bagus sekali bagus sekali,True,False,False,False,True
buat aplikasi nya kenapa harus verifikasi wajah terus kalau orang tua yg ngga bisa pegang hp gimana susah jadinya,buat aplikasi nya verifikasi wajah terus kalau orang tua yg tidak bisa pegang hp gimana susah jadi,0,0,0,Tidak relevan dengan UMUX-Lite,0,Tidak relevan dengan UMUX-Lite,True,2,Ease of Use,label_0_contains_ease_keyword,"Label aktual tidak relevan, tetapi komentar mengandung indikasi ease of use atau masalah penggunaan aplikasi.",19,,,"ga bisa, susah, tidak bisa, verifikasi",,positive,0.4588,5.38,1.0,Mahpudin Rafael sanjani,2026-04-02 07:02:15,0.0,Tidak relevan dengan pertanyaan manapun,0,0.0,0.0,1.0,high,False,buat aplikasi nya kenapa harus verifikasi wajah terus kalau orang tua yg ngga bisa pegang hp gimana susah jadinya,buat aplikasi nya kenapa harus verifikasi wajah terus kalau orang tua yg ngga bisa pegang hp gimana susah jadinya buat aplikasi nya verifikasi wajah terus kalau orang tua yg tidak bisa pegang hp gimana susah jadi,False,False,True,False,True
mantab,mantap,0,1,1,Usefulness,0,Tidak relevan dengan UMUX-Lite,False,0,Tidak relevan dengan UMUX-Lite,label_1_general_praise_only,"Label aktual Usefulness, tetapi komentar tampak hanya pujian umum. Cek apakah lebih tepat menjadi tidak relevan UMUX-Lite.",1,mantap,,,,neutral,0.0,4.0,5.0,Kristia Ningsih,2026-04-02 06:35:48,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0.0,0.0,0.0,moderate,False,mantab,mantab mantap,True,False,False,False,True
APK GAGAL SISTEM buat apa apk ini kalok harus pakek broswer lainya untuk konfirmasi keadaan pasien buang buang duit aja bpjs ini.,aplikasi gagal sistem buat apa aplikasi kalok pakek broswer lai konfirmasi pasien buang buang duit aja bpjs,0,0,0,Tidak relevan dengan UMUX-Lite,0,Tidak relevan dengan UMUX-Lite,True,3,Usefulness + Ease of Use,label_0_contains_both_dimensions,"Label aktual tidak relevan, tetapi komentar mengandung indikasi usefulness dan ease of use.",22,ok,bpjs,gagal,,positive,0.5267,5.58,1.0,Abdil Band,2026-04-02 06:30:13,0.0,Tidak relevan dengan pertanyaan manapun,0,0.0,0.0,1.0,high,False,apk gagal sistem buat apa apk ini kalok harus pakek broswer lainya untuk konfirmasi keadaan pasien buang buang duit aja bpjs ini.,apk gagal sistem buat apa apk ini kalok harus pakek broswer lainya untuk konfirmasi keadaan pasien buang buang duit aja bpjs ini. aplikasi gagal sistem buat apa aplikasi kalok pakek broswer lai konfirmasi pasien buang buang duit aja bpjs,True,True,True,False,True
petugasnya ramah...muantap,tugas ramah muantap,1,0,2,Ease of Use,2,Ease of Use,True,0,Tidak relevan dengan UMUX-Lite,too_short_no_clear_keyword,Komentar sangat pendek dan tidak mengandung keyword UMUX-Lite yang jelas.,2,,,,,neutral,0.0,4.0,5.0,Heyni Kereh,2026-04-02 06:02:15,0.0,Relevan dengan P1 (mudah digunakan),1,0.0,0.0,0.0,moderate,True,petugasnya ramah...muantap,petugasnya ramah...muantap tugas ramah muantap,False,False,False,False,True
👍👍,,0,0,0,Tidak relevan dengan UMUX-Lite,0,Tidak relevan dengan UMUX-Lite,True,0,Tidak relevan dengan UMUX-Lite,too_short_no_clear_keyword,Komentar sangat pendek dan tidak mengandung keyword UMUX-Lite yang jelas.,1,,,,,positive,0.4588,5.38,5.0,Adi wijaya Wijaya.,2026-04-02 05:59:01,0.0,Tidak relevan dengan pertanyaan manapun,0,0.126,0.575,0.299,high,False,👍👍,👍👍 ,False,False,False,False,False
pelayanannya mudah dimengerti,layan mudah erti,1,0,2,Ease of Use,2,Ease of Use,True,3,Usefulness + Ease of Use,single_dimension_label_contains_both,"Label aktual hanya satu dimensi, tetapi komentar mengandung indikasi usefulness dan ease of use.",3,,"layan, layanan",mudah,,neutral,0.0,4.0,5.0,Ryan Sihong,2026-04-02 05:28:36,0.0,Relevan dengan P1 (mudah digunakan),1,0.373,0.254,0.373,moderate,True,pelayanannya mudah dimengerti,pelayanannya mudah dimengerti layan mudah erti,False,True,True,False,True
apasih gak jelas masa gak bisa login,apasih tidak jelas masa tidak bisa login,0,0,0,Tidak relevan dengan UMUX-Lite,0,Tidak relevan dengan UMUX-Lite,True,2,Ease of Use,label_0_contains_ease_keyword,"Label aktual tidak relevan, tetapi komentar mengandung indikasi ease of use atau masalah penggunaan aplikasi.",7,,,"gak bisa, jelas, login, tidak bisa",tidak bisa login,positive,0.5859,5.76,1.0,Fiii iQ,2026-04-02 05:23:26,0.0,Tidak relevan dengan pertanyaan manapun,0,0.0,0.0,1.0,high,False,apasih gak jelas masa gak bisa login,apasih gak jelas masa gak bisa login apasih tidak jelas masa tidak bisa login,False,False,True,True,True
kenapa tidak bisa dibuka,tidak bisa buka,0,0,0,Tidak relevan dengan UMUX-Lite,2,Ease of Use,False,2,Ease of Use,label_0_contains_ease_keyword,"Label aktual tidak relevan, tetapi komentar mengandung indikasi ease of use atau masalah penggunaan aplikasi.",4,,,"buka, tidak bisa","tidak bisa buka, tidak bisa dibuka",positive,0.4588,5.38,5.0,much nur santoso,2026-04-02 05:21:14,0.0,Tidak relevan dengan pertanyaan manapun,0,0.0,0.25,0.75,high,True,kenapa tidak bisa dibuka,kenapa tidak bisa dibuka tidak bisa buka,False,False,True,True,True
aplikasi cacat susah bgt buat loginya,aplikasi cacat susah bgt buat login,0,0,0,Tidak relevan dengan UMUX-Lite,0,Tidak relevan dengan UMUX-Lite,True,2,Ease of Use,label_0_contains_ease_keyword,"Label aktual tidak relevan, tetapi komentar mengandung indikasi ease of use atau masalah penggunaan aplikasi.",6,,,"login, susah",,positive,0.7506,6.25,1.0,Muhammad Ramadlan,2026-04-02 04:42:49,0.0,Tidak relevan dengan pertanyaan manapun,0,0.0,0.0,1.0,high,False,aplikasi cacat susah bgt buat loginya,aplikasi cacat susah bgt buat loginya aplikasi cacat susah bgt buat login,False,False,True,False,True
memudahkan kita dalam pengurusan BPJS ketenagakerjaan,mudah urus bpjs ketenagakerjaan,1,0,2,Ease of Use,2,Ease of Use,True,3,Usefulness + Ease of Use,single_dimension_label_contains_both,"Label aktual hanya satu dimensi, tetapi komentar mengandung indikasi usefulness dan ease of use.",6,,"bpjs, ketenagakerjaan",mudah,,positive,0.5423,5.63,5.0,Reni Aguustiin,2026-04-02 04:38:15,0.0,Relevan dengan P1 (mudah digunakan),1,0.0,0.222,0.778,high,True,memudahkan kita dalam pengurusan bpjs ketenagakerjaan,memudahkan kita dalam pengurusan bpjs ketenagakerjaan mudah urus bpjs ketenagakerjaan,False,True,True,False,True
terimakasih karena sudah menerima kritik dan saran. terimakasih juga sudah memberikan solusi yg terbaik 🙏,terimakasih terima kritik saran terimakasih beri solusi yg baik,1,1,3,Usefulness + Ease of Use,3,Usefulness + Ease of Use,True,0,Tidak relevan dengan UMUX-Lite,label_3_no_clear_dimension_keyword,"Label aktual gabungan, tetapi tidak terdeteksi keyword usefulness atau ease of use yang jelas.",15,"baik, terbaik",,,,positive,0.4404,5.32,5.0,Aditya Azka,2026-04-02 04:22:59,0.0,Relevan dengan P1 dan P3,3,0.0,0.0,1.0,high,True,terimakasih karena sudah menerima kritik dan saran. terimakasih juga sudah memberikan solusi yg terbaik 🙏,terimakasih karena sudah menerima kritik dan saran. terimakasih juga sudah memberikan solusi yg terbaik 🙏 terimakasih terima kritik saran terimakasih beri solusi yg baik,True,False,False,False,True
pengajuan cepat,aju cepat,1,0,2,Ease of Use,2,Ease of Use,True,0,Tidak relevan dengan UMUX-Lite,too_short_no_clear_keyword,Komentar sangat pendek dan tidak mengandung keyword UMUX-Lite yang jelas.,2,,,,,positive,0.9559,6.87,5.0,kurniawan cita agung laksana,2026-04-02 04:20:41,0.0,Relevan dengan P1 (mudah digunakan),1,0.0,0.081,0.919,high,True,pengajuan cepat,pengajuan cepat aju cepat,False,False,False,False,True
"Membantu untuk pengecekan data kepesertaan, saldo dan klaim JHT. Pencairan dana klaim JHT semakin mudah.",bantu kece data saldo klaim jht cair dana klaim jht makin mudah,0,1,1,Usefulness,1,Usefulness,True,3,Usefulness + Ease of Use,single_dimension_label_contains_both,"Label aktual hanya satu dimensi, tetapi komentar mengandung indikasi usefulness dan ease of use.",15,,"bantu, cair, data, jht, klaim, membantu, pencairan, peserta, saldo",mudah,,negative,-0.2023,3.39,5.0,Dewi Ningsih,2026-04-02 04:15:29,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0.478,0.217,0.304,moderate,True,"membantu untuk pengecekan data kepesertaan, saldo dan klaim jht. pencairan dana klaim jht semakin mudah.","membantu untuk pengecekan data kepesertaan, saldo dan klaim jht. pencairan dana klaim jht semakin mudah. bantu kece data saldo klaim jht cair dana klaim jht makin mudah",False,True,True,False,True
tidak bisa di buka,tidak bisa buka,0,0,0,Tidak relevan dengan UMUX-Lite,2,Ease of Use,False,2,Ease of Use,label_0_contains_ease_keyword,"Label aktual tidak relevan, tetapi komentar mengandung indikasi ease of use atau masalah penggunaan aplikasi.",4,,,"buka, tidak bisa",tidak bisa buka,positive,0.5574,5.67,1.0,Nurul Komariyah,2026-04-02 04:01:42,0.0,Tidak relevan dengan pertanyaan manapun,0,0.0,0.357,0.643,high,True,tidak bisa di buka,tidak bisa di buka tidak bisa buka,False,False,True,True,True
petugasnya ramah,tugas ramah,1,0,2,Ease of Use,2,Ease of Use,True,0,Tidak relevan dengan UMUX-Lite,too_short_no_clear_keyword,Komentar sangat pendek dan tidak mengandung keyword UMUX-Lite yang jelas.,2,,,,,negative,-0.4215,2.74,5.0,Awing Awingji,2026-04-02 03:22:06,0.0,Relevan dengan P1 (mudah digunakan),1,0.412,0.588,0.0,low,True,petugasnya ramah,petugasnya ramah tugas ramah,False,False,False,False,True
very helpful,very helpful,1,0,2,Ease of Use,2,Ease of Use,True,0,Tidak relevan dengan UMUX-Lite,too_short_no_clear_keyword,Komentar sangat pendek dan tidak mengandung keyword UMUX-Lite yang jelas.,2,,,,,positive,0.4588,5.38,5.0,Alyan Hokke,2026-04-02 03:17:31,0.0,Relevan dengan P1 (mudah digunakan),1,0.0,0.0,1.0,high,True,very helpful,very helpful very helpful,False,False,False,False,True
sangat puasa,sangat puasa,0,1,1,Usefulness,1,Usefulness,True,0,Tidak relevan dengan UMUX-Lite,label_1_general_praise_only,"Label aktual Usefulness, tetapi komentar tampak hanya pujian umum. Cek apakah lebih tepat menjadi tidak relevan UMUX-Lite.",2,puas,,,,negative,-0.7783,1.67,5.0,Dini Chrismadianti,2026-04-02 02:47:41,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0.409,0.511,0.08,low,True,sangat puasa,sangat puasa sangat puasa,True,False,False,False,True
gangguan mulu make apk jmo sampe cape bulak balik mulu harus buka blokiran,ganggu mulu make aplikasi jmo sampe cape bulak balik mulu buka blokir,0,0,0,Tidak relevan dengan UMUX-Lite,0,Tidak relevan dengan UMUX-Lite,True,2,Ease of Use,label_0_contains_ease_keyword,"Label aktual tidak relevan, tetapi komentar mengandung indikasi ease of use atau masalah penggunaan aplikasi.",13,ok,,buka,,positive,0.5574,5.67,1.0,Tedisyah Syah,2026-04-02 02:45:10,0.0,Tidak relevan dengan pertanyaan manapun,0,0.0,0.217,0.783,high,False,gangguan mulu make apk jmo sampe cape bulak balik mulu harus buka blokiran,gangguan mulu make apk jmo sampe cape bulak balik mulu harus buka blokiran ganggu mulu make aplikasi jmo sampe cape bulak balik mulu buka blokir,True,False,True,False,True
force close terus,force close terus,0,0,0,Tidak relevan dengan UMUX-Lite,0,Tidak relevan dengan UMUX-Lite,True,2,Ease of Use,label_0_contains_ease_keyword,"Label aktual tidak relevan, tetapi komentar mengandung indikasi ease of use atau masalah penggunaan aplikasi.",3,,,,force close,neutral,0.0,4.0,1.0,killing boredom,2026-04-02 02:23:45,0.0,Tidak relevan dengan pertanyaan manapun,0,0.0,1.0,0.0,moderate,False,force close terus,force close terus force close terus,False,False,False,True,True
knp sy gak bisa buka apk ini? pdhl sdh download & daftar dl,knp sy tidak bisa buka aplikasi pdhl sdh download daftar dl,0,0,0,Tidak relevan dengan UMUX-Lite,0,Tidak relevan dengan UMUX-Lite,True,2,Ease of Use,label_0_contains_ease_keyword,"Label aktual tidak relevan, tetapi komentar mengandung indikasi ease of use atau masalah penggunaan aplikasi.",13,,,"buka, daftar, gak bisa, tidak bisa",tidak bisa buka,negative,-0.4215,2.74,1.0,Rock Man84,2026-04-02 02:14:50,0.0,Tidak relevan dengan pertanyaan manapun,0,0.646,0.0,0.354,low,False,knp sy gak bisa buka apk ini? pdhl sdh download & daftar dl,knp sy gak bisa buka apk ini? pdhl sdh download & daftar dl knp sy tidak bisa buka aplikasi pdhl sdh download daftar dl,False,False,True,True,True
"Alhamdulillah akhirnya bisa difahami dan ternyata mudah dengan bantuan aplikasi ini, terimakasih",alhamdulillah akhir bisa difahami nyata mudah bantu aplikasi terimakasih,1,0,2,Ease of Use,1,Usefulness,False,3,Usefulness + Ease of Use,single_dimension_label_contains_both,"Label aktual hanya satu dimensi, tetapi komentar mengandung indikasi usefulness dan ease of use.",12,,bantu,mudah,,positive,0.5719,5.72,5.0,Adang Sujana,2026-04-02 01:57:10,0.0,Relevan dengan P1 (mudah digunakan),1,0.0,0.213,0.787,high,True,"alhamdulillah akhirnya bisa difahami dan ternyata mudah dengan bantuan aplikasi ini, terimakasih","alhamdulillah akhirnya bisa difahami dan ternyata mudah dengan bantuan aplikasi ini, terimakasih alhamdulillah akhir bisa difahami nyata mudah bantu aplikasi terimakasih",False,True,True,False,True
sangat puas,sangat puas,0,1,1,Usefulness,1,Usefulness,True,0,Tidak relevan dengan UMUX-Lite,label_1_general_praise_only,"Label aktual Usefulness, tetapi komentar tampak hanya pujian umum. Cek apakah lebih tepat menjadi tidak relevan UMUX-Lite.",2,puas,,,,neutral,0.0,4.0,5.0,Arjuna Rojali,2026-04-02 01:47:26,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0.0,1.0,0.0,moderate,True,sangat puas,sangat puas sangat puas,True,False,False,False,True
alhamdulilah,alhamdulilah,0,0,0,Tidak relevan dengan UMUX-Lite,0,Tidak relevan dengan UMUX-Lite,True,0,Tidak relevan dengan UMUX-Lite,too_short_no_clear_keyword,Komentar sangat pendek dan tidak mengandung keyword UMUX-Lite yang jelas.,1,,,,,positive,0.5859,5.76,5.0,andi hermawan,2026-04-02 01:31:03,0.0,Tidak relevan dengan pertanyaan manapun,0,0.0,0.0,1.0,high,False,alhamdulilah,alhamdulilah alhamdulilah,False,False,False,False,False
"aplikasi selalu gagal di buka, tolong perbaiki bug. sekelas JMO masa bug nya bgitu asal di buka langsung kluar",aplikasi selalu gagal buka baik bug kelas jmo masa bug nya bgitu asal buka langsung kluar,0,0,0,Tidak relevan dengan UMUX-Lite,0,Tidak relevan dengan UMUX-Lite,True,2,Ease of Use,label_0_contains_ease_keyword,"Label aktual tidak relevan, tetapi komentar mengandung indikasi ease of use atau masalah penggunaan aplikasi.",19,baik,,"buka, gagal",,positive,0.128,4.38,1.0,Robby Han1540,2026-04-02 01:22:44,0.0,Tidak relevan dengan pertanyaan manapun,0,0.253,0.529,0.218,moderate,False,"aplikasi selalu gagal di buka, tolong perbaiki bug. sekelas jmo masa bug nya bgitu asal di buka langsung kluar","aplikasi selalu gagal di buka, tolong perbaiki bug. sekelas jmo masa bug nya bgitu asal di buka langsung kluar aplikasi selalu gagal buka baik bug kelas jmo masa bug nya bgitu asal buka langsung kluar",True,False,True,False,True
"Tolong perbaiki bagian pengaduan secepatnya karna bagian pilihan KPJ ga muncul dan upah yang dilaporkan gabisa di pencet juga, karna upah saya dan upah yg dilaporkan ga sesuai, saya ga bisa ngadu langsung ke perusahaan jadi saya mau ngadu dari aplikasi namun gabisa!",baik adu cepat karna pilih kpj tidak muncul upah lapor tidak bisa pencet karna upah upah yg lapor tidak sesuai tidak bisa ngadu langsung usaha jadi mau ngadu aplikasi tidak bisa,0,0,0,Tidak relevan dengan UMUX-Lite,0,Tidak relevan dengan UMUX-Lite,True,3,Usefulness + Ease of Use,label_0_contains_both_dimensions,"Label aktual tidak relevan, tetapi komentar mengandung indikasi usefulness dan ease of use.",43,baik,sesuai,"ga bisa, gabisa, tidak bisa",aplikasi tidak bisa,positive,0.5267,5.58,2.0,Amelia Fatimah Lani,2026-04-02 01:18:17,1.0,Tidak relevan dengan pertanyaan manapun,0,0.0,0.0,1.0,high,False,"tolong perbaiki bagian pengaduan secepatnya karna bagian pilihan kpj ga muncul dan upah yang dilaporkan gabisa di pencet juga, karna upah saya dan upah yg dilaporkan ga sesuai, saya ga bisa ngadu langsung ke perusahaan jadi saya mau ngadu dari aplikasi namun gabisa!","tolong perbaiki bagian pengaduan secepatnya karna bagian pilihan kpj ga muncul dan upah yang dilaporkan gabisa di pencet juga, karna upah saya dan upah yg dilaporkan ga sesuai, saya ga bisa ngadu langsung ke perusahaan jadi saya mau ngadu dari aplikasi namun gabisa! baik adu cepat karna pilih kpj tidak muncul upah lapor tidak bisa pencet karna upah upah yg lapor tidak sesuai tidak bisa ngadu langsung usaha jadi mau ngadu aplikasi tidak bisa",True,True,True,True,True
"baik, tapi masih kadang suka eror",baik kadang suka error,0,0,0,Tidak relevan dengan UMUX-Lite,2,Ease of Use,False,2,Ease of Use,label_0_contains_ease_keyword,"Label aktual tidak relevan, tetapi komentar mengandung indikasi ease of use atau masalah penggunaan aplikasi.",6,baik,,"eror, error",,neutral,0.0,4.0,4.0,Awug Junior,2026-04-02 00:50:19,0.0,Tidak relevan dengan pertanyaan manapun,0,0.0,0.0,0.0,moderate,True,"baik, tapi masih kadang suka eror","baik, tapi masih kadang suka eror baik kadang suka error",True,False,True,False,True
udah 1 bulan pengajuan pencairan tapi sampai sekarang belum cair jugaa,udah bulan aju cair sekarang belum cair jugaa,0,0,0,Tidak relevan dengan UMUX-Lite,0,Tidak relevan dengan UMUX-Lite,True,1,Usefulness,label_0_contains_usefulness_keyword,"Label aktual tidak relevan, tetapi komentar mengandung indikasi usefulness atau manfaat aplikasi.",11,,"cair, pencairan",,,positive,0.5574,5.67,3.0,Eva Supriyani,2026-04-02 00:37:00,0.0,Tidak relevan dengan pertanyaan manapun,0,0.0,0.217,0.783,high,False,udah 1 bulan pengajuan pencairan tapi sampai sekarang belum cair jugaa,udah 1 bulan pengajuan pencairan tapi sampai sekarang belum cair jugaa udah bulan aju cair sekarang belum cair jugaa,False,True,False,False,True
mantap,mantap,0,1,1,Usefulness,0,Tidak relevan dengan UMUX-Lite,False,0,Tidak relevan dengan UMUX-Lite,label_1_general_praise_only,"Label aktual Usefulness, tetapi komentar tampak hanya pujian umum. Cek apakah lebih tepat menjadi tidak relevan UMUX-Lite.",1,mantap,,,,positive,0.5859,5.76,5.0,Fauzan,2026-04-02 00:25:37,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0.0,0.345,0.655,high,False,mantap,mantap mantap,True,False,False,False,True
sangat bagus,sangat bagus,0,1,1,Usefulness,0,Tidak relevan dengan UMUX-Lite,False,0,Tidak relevan dengan UMUX-Lite,label_1_general_praise_only,"Label aktual Usefulness, tetapi komentar tampak hanya pujian umum. Cek apakah lebih tepat menjadi tidak relevan UMUX-Lite.",2,bagus,,,,positive,0.7184,6.16,5.0,Aswad Lsw,2026-04-02 00:23:39,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0.0,0.2,0.8,high,False,sangat bagus,sangat bagus sangat bagus,True,False,False,False,True
sangat mantap bosku,sangat mantap bos,0,1,1,Usefulness,1,Usefulness,True,0,Tidak relevan dengan UMUX-Lite,label_1_general_praise_only,"Label aktual Usefulness, tetapi komentar tampak hanya pujian umum. Cek apakah lebih tepat menjadi tidak relevan UMUX-Lite.",3,mantap,,,,positive,0.4588,5.38,5.0,Taufik Widiatmoko,2026-04-02 00:14:30,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0.0,0.0,1.0,high,True,sangat mantap bosku,sangat mantap bosku sangat mantap bos,True,False,False,False,True
terbaik,baik,0,1,1,Usefulness,0,Tidak relevan dengan UMUX-Lite,False,0,Tidak relevan dengan UMUX-Lite,label_1_general_praise_only,"Label aktual Usefulness, tetapi komentar tampak hanya pujian umum. Cek apakah lebih tepat menjadi tidak relevan UMUX-Lite.",1,"baik, terbaik",,,,positive,0.6486,5.95,5.0,muhammad ahmad,2026-04-01 23:49:35,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0.0,0.0,1.0,high,False,terbaik,terbaik baik,True,False,False,False,True
sy blum paham kenapa susah di buka ya?,sy blum paham susah buka,0,0,0,Tidak relevan dengan UMUX-Lite,0,Tidak relevan dengan UMUX-Lite,True,2,Ease of Use,label_0_contains_ease_keyword,"Label aktual tidak relevan, tetapi komentar mengandung indikasi ease of use atau masalah penggunaan aplikasi.",8,,,"buka, susah",,negative,-0.7906,1.63,5.0,Khusaenisumarji Marji,2026-04-01 23:37:04,0.0,Tidak relevan dengan pertanyaan manapun,0,0.305,0.584,0.11,low,False,sy blum paham kenapa susah di buka ya?,sy blum paham kenapa susah di buka ya? sy blum paham susah buka,False,False,True,False,True
prosesnya cepat,proses cepat,0,1,1,Usefulness,1,Usefulness,True,0,Tidak relevan dengan UMUX-Lite,too_short_no_clear_keyword,Komentar sangat pendek dan tidak mengandung keyword UMUX-Lite yang jelas.,2,,,,,negative,-0.4404,2.68,5.0,Solat Yang rajin,2026-04-01 23:36:15,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0.278,0.634,0.088,low,True,prosesnya cepat,prosesnya cepat proses cepat,False,False,False,False,True
"Pelayanan jmo sangat tidak memuaskan, kenapa begitu sulit sekali menggabungkan saldo jmo saya sudah urus 3 bulan, mau gabungkan dari perusahaan lama ke perusahaan baru, mohon pelayananya lebih di tingkatkan lah.",layan jmo sangat tidak muas sulit sekali gabung saldo jmo urus bulan mau gabung usaha lama usaha baru mohon pelayananya lebih tingkat lah,0,0,0,Tidak relevan dengan UMUX-Lite,0,Tidak relevan dengan UMUX-Lite,True,3,Usefulness + Ease of Use,label_0_contains_both_dimensions,"Label aktual tidak relevan, tetapi komentar mengandung indikasi usefulness dan ease of use.",31,,"layan, layanan, saldo",sulit,,positive,0.7906,6.37,2.0,Dedi Handoko,2026-04-01 23:27:50,0.0,Tidak relevan dengan pertanyaan manapun,0,0.0,0.222,0.778,high,False,"pelayanan jmo sangat tidak memuaskan, kenapa begitu sulit sekali menggabungkan saldo jmo saya sudah urus 3 bulan, mau gabungkan dari perusahaan lama ke perusahaan baru, mohon pelayananya lebih di tingkatkan lah.","pelayanan jmo sangat tidak memuaskan, kenapa begitu sulit sekali menggabungkan saldo jmo saya sudah urus 3 bulan, mau gabungkan dari perusahaan lama ke perusahaan baru, mohon pelayananya lebih di tingkatkan lah. layan jmo sangat tidak muas sulit sekali gabung saldo jmo urus bulan mau gabung usaha lama usaha baru mohon pelayananya lebih tingkat lah",False,True,True,False,True
